"term","frequency"
"love",935
"like",653
"just",488
"one",388
"time",358
"think",341
"get",289
"will",286
"septemb",273
"album",272
"still",267
"know",259
"listen",259
"see",250
"dont",241
"got",222
"can",215
"realli",211
"peopl",208
"even",203
"now",200
"show",196
"ticket",196
"come",192
"feel",189
"good",189
"anyon",183
"year",183
"first",180
"make",179
"look",177
"want",176
"much",167
"great",162
"also",158
"seat",156
"fan",155
"play",154
"perfect",153
"day",148
"live",145
"right",142
"hope",141
"video",140
"best",139
"say",139
"pleas",137
"need",135
"never",133
"beauti",125
